url_path,views_total,views_unique
/centerofci/mathesar,679,375
/centerofci/mathesar/issues,193,39
/centerofci/mathesar/pulls,161,13
/centerofci/mathesar/blob/develop/CONTRIBUTING.md,52,19
/centerofci/mathesar/blob/develop/DEVELOPER_GUIDE.md,49,9
/centerofci/mathesar/issues/2857,44,14
/centerofci/mathesar/issues/2917,37,12
/centerofci/mathesar/tree/develop/mathesar,36,9
/centerofci/mathesar/tree/develop/mathesar_ui,33,10
/centerofci/mathesar/blob/develop/mathesar_ui/src/systems/table-view/TableView.svelte,30,1
