time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-24 00:00:00+00:00,293,21,272,41
2023-08-25 00:00:00+00:00,224,15,274,37
2023-08-26 00:00:00+00:00,43,6,197,28
2023-08-27 00:00:00+00:00,9,6,137,27
2023-08-28 00:00:00+00:00,262,16,350,45
2023-08-29 00:00:00+00:00,212,19,349,38
2023-08-30 00:00:00+00:00,43,9,111,36
2023-08-31 00:00:00+00:00,55,10,272,39
2023-09-01 00:00:00+00:00,51,6,194,40
2023-09-02 00:00:00+00:00,4,4,94,21
2023-09-03 00:00:00+00:00,19,5,186,20
2023-09-04 00:00:00+00:00,54,12,423,34
2023-09-05 00:00:00+00:00,63,9,326,24
2023-09-06 00:00:00+00:00,154,11,222,33
