id,Name
1,Additional Soundtrack
2,24 Frame Playback
3,Director of Photography
4,Matchmove Supervisor
5,Novel
6,Supervising Technical Director
7,Set Production Assistant
8,Casting Consultant
9,Mix Technician
10,Additional Music
11,Animation Director
12,Characters
13,Other
14,Music Score Producer
15,Animation Supervisor
16,Production Artist
17,Post Production Consulting
18,Set Dressing Artist
19,Manager of Operations
20,Assistant Costume Designer
21,Additional Dialogue
22,Set Dresser
23,Set Decoration Buyer
24,Camera Technician
25,Makeup Designer
26,Executive In Charge Of Post Production
27,Chef
28,Standby Painter
29,Temp Music Editor
30,Aerial Director of Photography
31,Conceptual Illustrator
32,Lighting Technician
33,Script Editor
34,Rigging Gaffer
35,Comic Book
36,Finance
37,Compositors
38,Creative Producer
39,Stand In
40,First Assistant Director
41,Machinist
42,Pyrotechnician
43,Hair Setup
44,Visual Effects Designer
45,Art Department Coordinator
46,Grip
47,Chief Lighting Technician
48,Animation Fix Coordinator
49,Supervising Dialogue Editor
50,Systems Administrators & Support
51,Production Illustrator
52,Story
53,Costume Design
54,Musical
55,Camera Intern
56,Comic-Zeichner
57,Wigmaker
58,Wardrobe Supervisor
59,Production Controller
60,Assistant Director
61,First Assistant Sound Editor
62,Digital Effects Supervisor
63,Theme Song Performance
64,Visual Effects
65,Utility Stunts
66,Assistant Editor
67,Storyboard
68,Production Director
69,Opera
70,Associate Producer
71,Aerial Camera (suggest in addition to Helicopter Camera)
72,First Assistant Editor
73,Recording Supervision
74,Key Grip
75,Camera Operator
76,Hair Designer
77,Author
78,Aerial Coordinator
79,Songs
80,Legal Services
81,Projection
82,Digital Effects Producer
83,Key Makeup Artist
84,Supervising ADR Editor
85,Book
86,Special Sound Effects
87,Music Supervisor
88,Imaging Science
89,Russian Arm Operator
90,Animatronics Designer
91,Animal Coordinator
92,Sound Engineer
93,Local Casting
94,Underwater Director of Photography
95,Lighting Director
96,Ager/Dyer
97,Foley
98,Digital Producer
99,Second Unit
100,Armory Coordinator
101,Photoscience Manager
102,Video Assist Operator
103,VFX Supervisor
104,Production Sound Mixer
105,Music
106,Post-Production Manager
107,Casting Assistant
108,Theatre Play
109,Lead Character Designer
110,Co-Director
111,Assistant Sound Editor
112,Mixing Engineer
113,Assistant Art Director
114,Steadycam
115,Sign Painter
116,Mechanical & Creature Designer
117,Camera Department Manager
118,Executive Consultant
