id,Title,Release Date,Runtime,Homepage,Sub-Collection,Imdb ID,Tagline,Overview,Budget,Revenue,Original Title,Original Language
426903,Buffalo Running,1883-11-19,1.0,,,tt5459794,,Individual photographs of the running of a buffalo shot in rapid succession.,0,0,Buffalo Running,en
16464,Traffic Crossing Leeds Bridge,1888-10-15,1.0,,,tt0343112,,"A film by Louis Aimé Augustin Le Prince, shot in late October 1888, showing pedestrians and carriages crossing Leeds Bridge.",0,0,Traffic Crossing Leeds Bridge,xx
33316,London's Trafalgar Square,1890-01-01,1.0,,,tt1202028,,"Moving picture of London's Trafalgar Square traffic, filmed with a kinesigraph.",0,0,London's Trafalgar Square,xx
386743,Mosquinha,1890-03-09,1.0,,,tt5285442,,Shot of the flight of a fly.,0,0,Mosquinha,en
33315,"Monkeyshines, No. 2",1890-11-21,1.0,,,tt0416046,,"Experimental film that follows up on the results of ""Monkeyshines, No. 1"". Once again, an Edison company worker moves around in front of the motion picture camera.",0,0,"Monkeyshines, No. 2",xx
33317,"Monkeyshines, No. 3",1890-11-21,1.0,,,tt0416047,,"Experimental film that follows up on the results of ""Monkeyshines, No. 1"" and ""Monkeyshines, No. 2"". Once again, an Edison company worker moves around in front of the motion picture camera.",0,0,"Monkeyshines, No. 3",xx
416258,Two Fencers,1891-01-02,1.0,,,tt5447082,,Short film of two men fencers,0,0,Two Fencers,en
312452,La Vague,1891-11-15,1.0,,,tt3508566,,"Experimental film of a wave, recorded on the bay of Naples.",0,0,La Vague,xx
105153,Fencing,1892-01-01,1.0,,,tt0241446,,Early Edison short showing two men fencing.,0,0,Fencing,en
16612,Carmencita,1894-03-14,1.0,,,tt0000001,,"The first woman to appear in front of an Edison motion picture camera and possibly the first woman to appear in a motion picture within the United States. In the film, Carmencita is recorded going through a routine she had been performing at Koster &amp; Bial's in New York since February 1890.",0,0,Carmencita,en
186019,Souvenir Strip of the Edison Kinetoscope,1894-05-18,1.0,,,tt0203853,,"Eugen Sandow, who claims to be the strongest man in the world, appears in the Edison Company's film studio.",0,0,Souvenir Strip of the Edison Kinetoscope,en
144421,Wintergartenprogramm,1895-11-01,7.0,,,tt1754898,,,0,0,Wintergartenprogramm,en
122134,Baby's Meal,1895-12-27,1.0,,,tt0000029,,"A father, a mother and a baby are sitting at a table, on a patio outside. Dad is feeding baby his lunch, while mum is serving tea.",0,0,Repas de Bébé,fr
127762,Baignade en Mer,1895-12-28,1.0,,,tt0000023,,"Several little boys run along a pier, then jump into the ocean.",0,0,Baignade en Mer,fr
104466,The Vanishing Lady,1896-01-01,1.0,,,tt0000075,,"Georges Méliès makes a woman disappear, then reappear.",0,0,Escamotage d'une dame chez Robert-Houdin,fr
178755,"Arab Cortege, Geneva",1896-01-01,1.0,,,tt0256607,,"A stationary camera looks across a busy corner toward a store front marked ""The Divan."" The words ""des fees"" are beneath. A cortege of Arabs, about 20 persons in the party, walk past; the dignitaries are in front, attended by men with horns and drums. Coming in the other direction are local Swiss, who pay little attention, and a group of native-garbed Africans. The dozen or so well-dressed denizens of Geneva who are sitting on the steps of the Divan take it all in.",0,0,Cortège arabe,fr
104462,A Terrible Night,1896-01-01,1.0,,,tt0000131,,"A man tries to get a good night's sleep, but is disturbed by a giant spider that leaps onto his bed, and a battle ensues in hilarious comic fashion.",0,0,Une nuit terrible,fr
94570,The Kiss,1896-04-01,1.0,,,tt0139738,,"They get ready to kiss, begin to kiss, and kiss and kiss and kiss in a way that brings down the house every time. (Edison films catalog)",0,0,The Kiss,en
163053,A Morning Bath,1896-10-30,1.0,,,tt0203700,,"“Mammy is washing her little pickaninny. She thrusts him, kicking and struggling, into a tub full of foaming suds.” (Edison film catalog)",0,0,A Morning Bath,en
189807,Mounted Police Charge,1896-11-02,1.0,,,tt0203708,,No Overview,0,0,Mounted Police Charge,en
104476,The Bewitched Inn,1897-01-01,2.0,,,tt0000138,,"A weary traveler stops at an inn along the way to get a good night's sleep, but his rest is interrupted by odd happenings when he gets to his room--beds vanishing and re-appearing, candles exploding, pants flying through the air and his shoes walking away by themselves.",0,0,L'Auberge ensorcelée,fr
104477,After the Ball,1897-01-01,1.0,,,tt0222735,,A woman arrives home after the ball. Her servant helps her undress and bathe. Arguably the first adult film ever made.,0,0,Après le Bal,fr
104471,The Haunted Castle,1897-01-01,1.0,,,tt1213033,,A man has an encounter with several spooky apparitions in a castle that is evidently owned by the Devil.,0,0,Le château hanté,fr
