id,Movie,Genre
1,43757,10751
2,48587,27
3,14907,35
4,340584,18
5,1807,80
6,51349,12
7,29538,18
8,58995,12
9,119569,28
10,251,18
11,1427,14
12,11540,80
13,142770,12
14,22328,37
15,45714,18
16,299828,35
17,227325,18
18,62439,18
19,309879,27
20,18671,53
21,43158,10402
22,41979,10751
23,398289,28
24,21837,28
25,14885,10751
26,169758,53
27,126947,18
28,297736,18
29,20825,35
30,330711,80
31,14411,12
32,72711,99
33,78256,10749
34,11622,10749
35,220724,14
36,340101,35
37,399894,878
38,73067,10752
39,23340,12
40,125619,35
41,15156,18
42,18374,28
43,59066,10749
44,47200,80
45,131966,53
46,499,18
47,31835,35
48,1247,53
49,43680,878
50,16032,53
51,11012,18
52,63764,18
53,222297,99
54,43759,35
55,28969,878
56,13842,18
57,324670,28
58,11589,10752
59,68193,18
60,418772,35
61,45273,28
62,28677,12
63,19157,35
64,22559,99
65,11535,53
66,20055,80
67,6068,10749
68,1969,28
69,68715,27
70,54093,35
71,83201,16
72,58646,35
73,4365,27
74,118098,18
75,45205,878
76,43395,10402
77,53861,53
78,146373,18
79,15199,10402
80,19286,14
81,15761,10769
82,74481,10769
83,63877,35
84,313922,53
85,40047,18
86,70670,53
87,393732,53
88,79735,37
89,62492,10402
90,22419,18
91,21442,10749
92,19957,12
93,3577,18
94,81296,35
95,156268,35
96,39545,18
97,1634,12
98,47410,27
99,53573,35
100,391757,18
101,16131,18
102,24657,18
103,12591,27
104,23857,53
105,51167,35
106,116019,10752
107,219572,18
108,284274,12
109,43656,18
110,22314,80
111,21325,14
112,241071,35
113,59930,10749
114,71067,10749
115,45302,18
116,383535,27
117,18638,10752
118,9958,35
119,12289,12
120,14773,99
121,30022,10749
122,189197,18
123,10783,80
124,50780,18
125,21948,53
126,291164,28
127,26293,18
128,60488,28
129,50374,18
130,76084,12
131,37653,35
132,43089,53
133,54384,10402
134,66966,10749
135,125673,28
136,30143,12
137,132928,10749
138,634,35
139,25653,80
140,19760,35
141,39102,16
142,19731,80
143,76341,53
144,27145,10749
145,60392,10749
146,363579,28
147,1595,18
148,181753,53
149,153779,18
150,43580,10770
151,249969,10749
152,279690,18
153,41645,10769
154,606,18
155,104973,18
156,40879,10402
157,155341,27
158,22784,18
159,51759,35
160,75090,35
161,8358,12
162,88818,35
163,92341,18
164,8053,18
165,53168,35
166,61225,18
167,5172,12
168,16899,35
169,116352,35
170,52949,18
171,6187,18
172,141210,27
173,24202,10749
174,33250,35
175,46712,10749
176,416635,12
177,134362,99
178,288193,99
179,28465,53
180,125409,80
181,8204,12
182,229297,10749
183,12276,10749
184,213121,16
185,28280,28
186,347096,12
187,10354,80
188,252144,53
189,24810,53
190,249,53
191,41028,53
192,342011,18
193,83,53
194,6964,18
195,278706,27
196,31276,878
197,6575,35
198,323929,35
199,71885,35
200,26366,35
201,39129,35
202,55853,12
203,48706,35
204,22267,10752
205,35113,80
206,42123,10752
207,7237,14
208,9935,53
209,11980,53
210,180685,12
211,300983,53
212,111017,10749
213,228970,18
214,370755,35
215,20106,35
216,34560,12
217,121351,28
218,90800,10402
219,254679,10751
220,211579,18
221,22241,10769
222,94225,18
223,34469,36
224,31522,35
225,18917,27
226,31856,80
227,35689,9648
228,120303,9648
229,14467,18
230,112244,18
231,218778,35
232,15749,28
233,35632,28
234,347096,28
235,56906,27
236,78657,35
237,247500,18
238,15264,37
239,41402,18
240,84993,18
241,80220,35
242,38807,28
243,130993,99
244,219335,35
245,39413,18
246,44104,10769
247,87654,10749
248,33314,10770
249,34729,35
250,8410,18
251,203186,53
252,39345,10751
253,274857,28
254,11653,14
255,45069,10749
256,71041,12
257,10632,53
258,37126,18
259,84907,27
260,60568,18
261,21948,18
262,56666,18
263,16907,12
264,30126,10751
265,43407,10752
266,375170,53
267,47886,9648
268,11658,28
269,49834,35
270,43139,35
271,32720,18
272,34623,10749
273,83899,27
274,138191,18
275,189197,12
276,14353,10402
277,12422,10769
278,67696,18
279,339312,18
280,63736,12
281,48967,35
282,15534,35
283,186292,53
284,54227,35
285,39495,18
286,81310,16
287,56709,53
288,173205,99
289,42499,9648
290,145593,35
291,73144,28
292,5183,18
293,131689,27
294,42678,53
295,327528,18
296,182131,14
297,37468,12
298,23730,27
299,156,10749
300,28917,35
301,58704,16
302,110001,80
303,132150,99
304,155325,18
305,47536,10769
306,51763,36
307,8072,18
308,142106,18
309,35263,18
310,10269,10402
311,254679,18
312,23178,10402
313,61550,10751
314,91583,35
315,16666,99
316,67018,18
317,63838,53
318,51955,878
319,382589,10402
320,188598,18
321,90634,10749
322,215999,18
323,109074,27
324,201429,10749
325,362150,10751
326,49492,10769
327,33025,18
328,11979,18
329,4882,80
330,18698,10751
331,39148,16
332,296626,27
333,255384,27
334,59075,14
335,23823,53
336,117942,35
337,16442,18
338,27966,80
339,85883,10749
340,207178,37
341,13283,10751
342,2047,28
343,23382,27
344,32540,53
345,237171,18
346,1273,12
347,7547,18
348,9550,12
349,9870,10749
350,121170,99
351,8470,53
352,63304,35
353,281215,18
354,39230,28
355,53654,53
356,2241,35
357,12121,35
358,24409,35
359,125510,16
360,25796,35
361,24170,10749
362,34796,10749
363,985,14
364,15805,16
365,8079,35
366,924,28
367,30308,18
368,38415,18
369,8888,18
370,86266,18
371,11358,12
372,22803,53
373,9827,53
374,11172,10402
375,41611,18
376,41495,18
377,26036,18
378,259695,18
379,131781,10402
380,142798,35
381,11862,35
382,37053,18
383,19766,28
384,301348,35
385,24020,10751
386,20968,18
387,28063,12
388,40146,27
389,28448,18
390,24927,27
391,11358,53
392,27351,10769
393,19053,35
394,83587,99
395,327389,27
396,127564,37
397,346646,53
398,34506,10770
399,11589,35
400,23628,18
401,14076,53
402,358982,53
403,8998,18
404,68174,18
405,338063,99
406,35826,35
407,9793,27
408,339403,28
409,38274,10749
410,74527,37
411,24979,35
412,295273,10749
413,71996,28
414,33586,35
415,231540,35
416,44732,28
417,73775,18
418,18569,35
419,21413,35
420,15759,10751
421,32610,10402
422,28367,14
423,337012,18
424,2100,28
425,351809,80
426,56599,9648
427,42825,9648
428,95536,36
429,3513,18
430,306598,99
431,63859,10751
432,73981,99
433,63831,18
434,13614,36
435,43093,27
436,9914,12
437,120831,18
438,107104,53
439,60608,10769
440,342588,9648
441,2262,80
442,24458,10752
443,260672,35
444,13562,10749
445,12538,35
446,109417,18
447,18381,35
448,112675,53
449,33360,80
450,11370,18
451,56533,35
452,327231,35
453,5544,36
454,21711,18
455,242224,53
456,9589,18
457,33127,99
458,41516,27
459,16997,28
460,10776,27
461,19621,28
462,102961,28
463,29372,28
464,57575,18
465,32996,10402
466,65603,27
467,45827,10751
468,84892,18
469,18939,18
470,81549,10751
471,273096,10749
472,290864,53
473,49334,18
474,45505,10769
475,382951,10751
476,9483,18
477,342684,53
478,22901,35
479,15765,18
480,2487,18
481,25941,28
482,43806,18
483,31161,10749
484,38202,12
485,17985,27
486,329286,35
487,46403,53
488,98541,99
489,228676,27
490,11618,53
491,1678,53
492,98094,35
493,26688,9648
494,61908,18
495,352917,53
496,11636,18
497,68750,80
498,159770,18
499,89551,12
500,64847,14
501,65156,80
502,94352,14
503,9260,35
504,295581,18
505,56527,28
506,6643,10749
507,109610,10749
508,17007,10770
509,10829,28
510,31448,35
511,42453,12
512,9756,53
513,51104,28
514,52959,10749
515,47446,18
516,24739,53
517,30690,35
518,84178,27
519,39436,27
520,186881,10769
521,50506,10749
522,75622,80
523,2124,18
524,30312,99
525,19209,10751
526,177677,53
527,96411,80
528,44960,18
529,242224,27
530,53524,18
531,14137,35
532,43319,37
533,290825,14
534,11205,28
535,211928,12
536,339408,18
537,49834,18
538,340961,18
539,86600,28
540,79435,18
541,295748,35
542,11577,37
543,52903,99
544,72946,10749
545,1375,18
546,29318,27
547,403593,10402
548,32031,12
549,21032,16
550,47324,80
551,10999,28
552,206657,99
553,303982,35
554,41949,10769
555,83191,10770
556,6589,12
557,79833,18
558,15179,35
559,292625,27
560,89751,80
561,10693,12
562,29467,80
563,49943,80
564,59704,10769
565,14916,27
566,18442,27
567,167,18
568,104644,27
569,2160,878
570,39240,53
571,25936,35
572,13073,18
573,43727,18
574,104103,18
575,273578,16
576,21840,28
577,341745,18
578,84636,18
579,34019,10749
580,382598,10751
581,264397,53
582,133160,18
583,89720,27
584,16866,16
585,291155,99
586,96035,35
587,172445,35
588,30379,28
589,97630,36
590,290864,28
591,86825,18
592,351043,53
593,38048,28
594,630,12
595,9016,14
596,74057,80
597,142712,10749
598,788,10751
599,284564,27
600,102197,53
601,15674,14
602,77875,35
603,24615,16
604,25768,35
605,12154,35
606,238362,35
607,29067,27
608,42892,35
609,205481,18
610,52034,27
611,244534,35
612,1647,53
613,10303,10749
614,43419,12
615,32038,10751
616,42170,80
617,42187,27
618,410634,27
619,74103,18
620,142064,35
621,374319,9648
622,18209,10749
623,377691,18
624,10991,28
625,2786,18
626,111836,35
627,318973,53
628,19235,18
629,31022,80
630,371504,9648
631,22606,37
632,63775,9648
633,52868,53
634,122662,878
635,33729,35
636,44943,878
637,17566,16
638,64961,35
639,100024,53
640,100594,878
641,18585,18
642,146216,28
643,76349,12
644,60120,18
645,58447,28
646,103433,35
647,68163,27
648,45565,10751
649,49653,18
650,16638,36
651,74878,80
652,399894,28
653,74126,35
654,325263,99
655,10257,12
656,15486,18
657,49028,18
658,313628,10749
659,128637,28
660,120588,10402
661,15944,10751
662,9963,9648
663,15601,16
664,63260,10749
665,280690,28
666,102,10749
667,31527,10749
668,47046,10749
669,1838,18
670,14527,28
671,62213,14
672,15689,878
673,184866,53
674,32124,18
675,117500,18
676,17189,16
677,14482,27
678,41187,18
679,29143,27
680,182131,28
681,76640,53
682,43000,35
683,10354,18
684,10724,53
685,320910,18
686,4365,35
687,35,35
688,313896,27
689,10529,28
690,18595,35
691,131737,53
692,381015,10749
693,8852,27
694,3072,878
695,51442,27
696,53423,35
697,282762,18
698,17962,14
699,292387,35
700,25518,35
701,62825,10402
702,55032,35
703,25834,878
704,73430,10749
705,320589,99
706,45324,18
707,288710,80
708,81616,18
709,16171,9648
710,72614,18
711,265208,53
712,338079,35
713,61895,99
714,392271,18
715,296029,99
716,32893,18
717,18758,18
718,1956,12
719,2293,35
720,62630,53
721,223497,35
722,39230,16
723,333667,10751
724,10025,14
725,4913,18
726,11202,10752
727,116318,10751
728,17057,53
729,38285,35
730,238302,10751
731,335145,18
732,286567,28
733,107973,10402
734,2757,18
735,322487,10751
736,10866,18
737,73827,35
738,25407,35
739,285685,18
740,13946,27
741,263627,10770
742,266741,10749
743,80443,35
744,38783,27
745,51939,18
746,42648,35
747,18741,28
748,10269,10749
749,264560,18
750,296192,35
751,339312,36
752,10795,53
753,9013,35
754,144111,18
755,21032,12
756,14207,35
757,323435,53
758,127380,35
759,49110,53
760,148,10749
761,40990,53
762,82178,18
763,355008,35
764,71859,18
765,14833,53
766,73869,18
767,198600,35
768,10710,35
769,36968,35
770,18290,28
771,348631,10770
772,98566,12
773,252916,80
774,24556,878
775,18,878
776,105860,28
777,17421,28
778,266741,10402
779,112931,99
780,17057,9648
781,208529,35
782,204922,53
783,64316,18
784,985,18
785,63300,10749
786,14263,10402
