id,Movie,Production Company
1,58757,30943
2,26505,1076
3,73247,33
4,36971,254
5,76411,8263
6,341957,54225
7,34223,6562
8,18893,6705
9,61341,6739
10,87516,829
11,43976,9209
12,47792,15276
13,26533,6
14,330275,37034
15,12638,29165
16,264269,21946
17,33364,8411
18,450530,5340
19,265208,59490
20,108869,13993
21,30126,5021
22,377170,6194
23,13889,1779
24,1640,25433
25,299730,36786
26,57327,1711
27,10869,2
28,49688,79621
29,2029,3823
30,23367,2454
31,235260,23920
32,32690,4641
33,42045,514
34,3933,11537
35,28238,73307
36,214093,3984
37,33660,5331
38,58547,12292
39,119738,79559
40,135708,10989
41,13889,2680
42,396330,2785
43,352733,50511
44,12205,4563
45,157843,58092
46,48787,16561
47,1991,45194
48,16436,2094
49,60855,806
50,99261,4745
51,168552,16
52,336011,1422
53,27144,16557
54,89591,3869
55,72203,14599
56,49524,333
57,9771,10210
58,106049,13148
59,417678,10067
60,421365,51401
61,140607,1634
62,26808,4591
63,135204,12432
64,23692,41564
65,31165,10462
66,294652,19638
67,44960,19463
68,85699,21411
69,25500,7090
70,15067,685
71,63838,886
72,14916,47178
73,341201,8791
74,8080,763
75,239566,11262
76,3172,8411
77,17771,181
78,49522,288
79,5491,7406
80,56391,84599
81,63300,5120
82,30308,5235
83,34193,11503
84,440777,93624
85,18189,3950
86,10004,32
87,9296,12
88,28482,4804
89,34496,23516
90,20108,7446
91,231176,45724
92,3520,10000
93,31078,4898
94,312221,88686
95,28325,77369
96,17332,6735
97,26670,56
98,11422,33
99,354859,61018
100,330770,11921
101,146243,73666
102,13495,3315
103,56807,37264
104,12103,172
105,406449,75631
106,70747,80103
107,13668,441
108,42684,7295
109,84336,288
110,28417,3132
111,373200,55802
112,82708,608
113,11113,6194
114,3597,441
115,286709,49982
116,10866,10104
117,306598,78686
118,36657,22970
119,41211,11620
120,46567,10454
121,11004,8878
122,296313,8281
123,288694,6037
124,11633,3364
125,1825,6194
126,245917,3153
127,134360,5
128,300669,17393
129,13823,508
130,37586,75419
131,59961,13778
132,19898,5755
133,28366,3320
134,44414,7380
135,362178,90980
136,332488,49430
137,345519,55989
138,336549,5120
139,316042,6408
140,87343,66587
141,189,10807
142,22076,10254
143,75622,22842
144,76229,306
145,12122,33
146,3478,2013
147,49850,2683
148,37291,181
149,94340,38598
150,333352,75932
151,103597,26606
152,48627,6194
153,47412,2112
154,125409,11858
155,371003,69224
156,26153,35831
157,10354,80
158,75532,43706
159,218425,50834
160,292294,441
161,8247,7384
162,315846,3341
163,286709,3240
164,32234,5072
165,257331,7036
166,126927,9266
167,13728,616
168,4286,1638
169,35694,26468
170,20372,54088
171,41505,2088
172,17111,4007
173,45693,7035
174,82243,65085
175,635,559
176,53178,5
177,347331,57188
178,76268,729
179,27635,10096
180,49277,7159
181,21566,68596
182,28090,888
183,8869,6194
184,327749,54880
185,341174,33
186,51739,10342
187,4520,58
188,27300,4660
189,75138,7783
190,15081,2
