id,Movie,Production Country
1,52122,95
2,96712,73
3,5915,95
4,43548,33
5,76094,95
6,24973,95
7,429174,26
8,220488,91
9,343173,60
10,15674,95
11,40826,116
12,46797,95
13,63260,60
14,28775,95
15,37672,95
16,124480,60
17,16074,91
18,56943,33
19,36253,73
20,18088,64
21,71147,112
22,16382,102
23,32158,106
24,101006,69
25,37969,95
26,42168,95
27,20650,95
28,364111,104
29,27886,95
30,69352,68
31,42512,92
32,44463,95
33,76714,95
34,338767,50
35,409,95
36,229254,50
37,14885,95
38,171648,57
39,398390,37
40,580,95
41,410118,57
42,43889,95
43,39781,95
44,48874,95
45,58518,33
46,64268,26
47,15163,95
48,89330,71
49,58701,33
50,77338,121
51,82481,60
52,390,105
53,348611,95
54,255913,121
55,427045,95
56,280004,95
57,299828,91
58,69310,91
59,31672,121
60,6877,95
61,126415,92
62,59419,95
63,295656,9
64,308269,9
65,57924,92
66,69727,67
67,362178,91
68,198993,104
69,50696,104
70,107073,92
71,10657,95
72,145316,95
73,2487,104
74,66469,95
75,84496,95
76,88042,95
77,4930,95
78,54256,31
79,12446,121
80,9795,95
81,34506,95
82,348631,95
83,10754,8
84,8204,95
85,195269,95
86,308024,95
87,353595,95
88,15764,64
89,71322,26
90,48254,33
91,43368,95
92,3989,92
93,256593,50
94,121823,91
95,7871,95
96,46014,95
97,413547,31
98,106747,95
99,37603,26
100,119213,95
101,87428,95
102,16993,95
103,80545,64
104,86643,64
105,9507,95
106,16638,95
107,53211,95
108,214209,106
109,23239,113
110,63681,121
111,111470,95
112,11404,64
113,27409,33
114,39276,104
115,2015,106
116,289278,50
117,66966,33
118,60420,95
119,21044,95
120,80142,9
121,43327,95
122,36355,95
123,46738,121
124,12454,64
125,18178,60
126,88273,93
127,289,95
128,212934,9
129,52936,33
130,247500,121
131,30993,95
132,169760,56
133,42438,33
134,46563,95
135,33130,36
136,439050,1
137,149465,26
138,2979,95
139,47241,21
140,705,95
141,182545,44
142,19995,64
143,13383,102
144,264061,95
145,104211,95
