id,Name
1661631,Richard Cummings
33348,Adrian Holmes
34720,Christopher Villiers
1239107,Omi Minami
1894164,Jack Webster
34840,Miguel Pérez
93902,Signe Hasso
107943,Klára Issová
42308,Beau Starr
1091997,Edwin August
1896860,Kevin O'Brien
81072,Seun Olagunju
110525,Kett Turton
37131,Bourvil
114835,Roddy Hughes
222830,Tomáš Hanák
1290895,Rick Petrucelli
1692543,Elena Gibson
47547,John Bennett
1384192,David B. Nichols
41269,John Beck
1616920,Amer Chadha-Patel
15534,Paul Benjamin
791,Mohammad Bustami
1212530,Carol Ann Susi
178614,Dolly Wells
31029,Kristen Wilson
44155,Hrant Alianak
11050,Henrik Lundström
78923,Suchitra Pillai-Malik
201071,Yuval Daniel
30351,Manuel de Blas
1723452,Philippe Lièvre
115602,Nicholas Phipps
103063,Davide Marotta
1674890,Yolanda Hughes-Heying
23821,Bryan Greenberg
210056,Pierre Barrera
1456539,Terry D. Rich
1616051,Alyssa Bresnahan
1447952,Richard Clayton
44921,Morgan Lam
21657,Vera Farmiga
1740170,Anna Jaskolka
3362,Judith Anderson
1857430,Vladimir McCrary
2725,Rainer Werner Fassbinder
1674949,Alice Benjamin
1744155,Vincent Boling
1200797,Janine King
1567499,Bea Guard
30898,Gordon Mitchell
39305,Werner Eichhorn
233118,Hale Hamilton
59449,Paula Marshall
13557,Clyde Cook
14868,Robert Young
8291,Alison Lohman
61945,Andrei Serban
20005,Moira Kelly
1402955,Julien Maffre
1229068,Nisha Nayar
76287,Bernadette Damman
100768,Jon Hall
1609645,Raymond MacCormac
40519,Max Linder
14545,Sully Boyar
94553,Jamie Marsh
1507115,Lynn Baker
11611,Laura Tonke
82834,Helena Carter
38581,Rachael Leigh Cook
18484,Virginie Thévenet
1547062,Ken Gerson
38570,Ken Jenkins
1564987,Sarah Loew
562719,Andrey Fedortsov
617,Ichirō Nagai
79954,Stefan Gryff
1616922,Tanveer Ghani
2,Mark Hamill
1231,Julianne Moore
107678,Almira Sessions
22370,Sara Kestelman
8232,Ethel Griffies
1080223,John Lander
1223643,Trevor Denman
120940,George Kuchar
133038,T.R. Bowen
1459314,David Wade
52830,Don Topping
62590,Jack Riley
1857920,Bernadette Benson
1160260,Tamsen McDonough
67369,Don Brodie
78145,Gabrielle Howarth
1075119,David Richardt
1338541,James Garrett
1551624,Hazel Childers
51549,Jordan Charney
96959,Duncan Lai
588095,Ralph Penney
97985,Angelo Rossitto
259040,Nicoletta Boris
80437,Peter James Smith
26959,Samuel Fuller
1780616,Anthony Bodell
24832,Daniel Prévost
34848,Tracy Falco
1681412,Brad Flock
5472,Colin Firth
1331671,Miriam Tun
3346,Dorothy Adams
17651,Nicholas Colasanto
1295160,Susie Bick
143405,Arthur St. Claire
11283,Clive Ashborn
150739,Thurl Ravenscroft
17773,Gabrielle Union
563898,Matthew Long
1245576,Steve Adams
60433,Ben Cardinal
34536,Maurice Page
88947,Sandy Duncan
3679,Frederick Piper
131102,Daniel Perrone
32427,W.S. Van Dyke
1083253,Neil Brand
1463007,Joseph Cozier
18289,Yomi Perry
33230,John Hubbard
2390,LeVar Burton
15482,Aurélien Recoing
95082,Leo Gordon
18891,Joan Severance
29306,John Paul
11886,Francesco Quinn
16474,Walter Scott
7171,John Belushi
17074,Sara Forestier
4990,Susumu Terajima
52879,Jason T. Davis
2671,John Alexander
1073795,Joshua Milrad
3676,Wylie Watson
