time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-18 00:00:00+00:00,319,38,452,77
2025-11-19 00:00:00+00:00,1098,39,861,90
2025-11-20 00:00:00+00:00,2489,44,800,101
2025-11-21 00:00:00+00:00,2074,61,939,85
2025-11-22 00:00:00+00:00,1667,31,1389,103
2025-11-23 00:00:00+00:00,4230,47,666,68
2025-11-24 00:00:00+00:00,955,44,641,76
2025-11-25 00:00:00+00:00,836,42,526,86
2025-11-26 00:00:00+00:00,700,55,842,77
2025-11-27 00:00:00+00:00,779,26,392,66
2025-11-28 00:00:00+00:00,821,51,489,70
2025-11-29 00:00:00+00:00,143,45,394,53
2025-11-30 00:00:00+00:00,1027,57,328,49
2025-12-01 00:00:00+00:00,132,55,623,60
