url_path,views_total,views_unique
/mathesar-foundation/mathesar,474,327
/mathesar-foundation/mathesar/issues,84,36
/mathesar-foundation/mathesar/pulls,57,19
/mathesar-foundation/mathesar/discussions,32,10
/mathesar-foundation/mathesar/releases/tag/0.9.0,16,13
/mathesar-foundation/mathesar/releases,14,10
/mathesar-foundation/mathesar/pull/5218,11,5
/mathesar-foundation/mathesar/blob/develop/docker-compose.yml,9,7
/mathesar-foundation/mathesar/milestones,9,4
/mathesar-foundation/mathesar/tree/develop/db,7,1
